modelo;precio;año;kilometraje;color;pais
Model Y;54440;2025;4;negro;Francia
Model X;55000;2019;59026;negro;Francia
Model Y;55290;2025;0;negro;Francia
Model Y;55290;2024;4;negro;Francia
Model Y;56480;2024;5;negro;Francia
Model Y;56640;2025;0;negro;Francia
Model Y;56640;2024;0;negro;Francia
Model 3;58790;2024;0;negro;Francia
Model 3;59980;2024;0;negro;Francia
Model Y;60280;2024;7;negro;Francia
Model 3;62590;2024;10;negro;Francia
Model S;87220;2024;5165;negro;Francia
Model S;88500;2023;27477;negro;Francia
Model S;92140;2024;31;negro;Francia
Model S;102280;2023;1011;negro;Francia
Model X;102780;2024;18;negro;Francia
Model X;108190;2024;49;negro;Francia
Model X;109390;2024;20;negro;Francia
Model S;109940;2024;541;negro;Francia
Model X;115290;2024;20;negro;Francia
Model S;115490;2024;17;negro;Francia
Model X;118690;2023;23;negro;Francia
Model X;119290;2024;20;negro;Francia
Model 3;27300;2020;54847;plata;Francia
Model S;28600;2018;127132;plata;Francia
Model 3;29200;2019;65352;plata;Francia
Model 3;29500;2021;40244;plata;Francia
Model 3;31300;2020;46586;plata;Francia
Model 3;32600;2019;45587;plata;Francia
Model 3;33500;2021;88254;plata;Francia
Model 3;39200;2020;30295;plata;Francia
Model X;43200;2018;91833;plata;Francia
Model 3;45900;2023;12996;plata;Francia
Model S;45900;2019;56744;plata;Francia
Model 3;46000;2023;28590;plata;Francia
Model X;47000;2020;130467;plata;Francia
Model X;48500;2019;75286;plata;Francia
Model X;49000;2019;98188;plata;Francia
Model X;49900;2018;52351;plata;Francia
Model X;51400;2019;84586;plata;Francia
Model X;53800;2019;64177;plata;Francia
Model X;55500;2020;124770;plata;Francia
Model X;56000;2019;55363;plata;Francia
Model X;91000;2023;12384;plata;Francia
Model X;109290;2023;86;plata;Francia
Model 3;29000;2021;136796;rojo;Francia
Model 3;29900;2022;68266;rojo;Francia
Model 3;30200;2021;91051;rojo;Francia
Model 3;33700;2021;64707;rojo;Francia
Model 3;34100;2020;38031;rojo;Francia
Model 3;34600;2023;40947;rojo;Francia
Model 3;36900;2021;42177;rojo;Francia
Model Y;44500;2023;10713;rojo;Francia
Model S;44700;2019;90274;rojo;Francia
Model 3;38780;2024;3906;rojo;Francia
Model 3;41830;2024;0;rojo;Francia
Model 3;41850;2024;52;rojo;Francia
Model 3;41900;2024;10;rojo;Francia
Model 3;41990;2025;0;rojo;Francia
Model 3;41990;2024;0;rojo;Francia
Model 3;42010;2024;15;rojo;Francia
Model 3;43010;2024;23;rojo;Francia
Model 3;43120;2024;12;rojo;Francia
Model 3;43180;2025;10;rojo;Francia
Model 3;43180;2024;0;rojo;Francia
Model 3;43280;2024;13;rojo;Francia
Model 3;43340;2025;0;rojo;Francia
Model 3;43340;2024;0;rojo;Francia
Model 3;45790;2024;12;rojo;Francia
Model 3;45790;2024;21;rojo;Francia
Model 3;50430;2024;13;rojo;Francia
Model 3;51540;2024;70;rojo;Francia
Model 3;51580;2024;10;rojo;Francia
Model 3;51990;2024;0;rojo;Francia
Model 3;52580;2024;15;rojo;Francia
Model 3;52700;2024;15;rojo;Francia
Model 3;53000;2024;12;rojo;Francia
Model 3;53180;2024;0;rojo;Francia
Model 3;53180;2024;0;rojo;Francia
Model 3;53880;2024;15;rojo;Francia
Model 3;55720;2024;12;rojo;Francia
Model 3;59490;2024;24;rojo;Francia
Model 3;60070;2024;13;rojo;Francia
Model 3;64480;2024;11;rojo;Francia
Model S;101140;2024;5313;rojo;Francia
Model S;102300;2024;21;rojo;Francia
Model X;109200;2024;26;rojo;Francia
Model X;113290;2024;197;rojo;Francia
Model 3;42640;2025;0;gris;Francia
Model 3;46440;2024;10;gris;Francia
Model 3;51290;2025;0;gris;Francia
Model 3;51290;2024;0;gris;Francia
Model 3;52480;2025;0;gris;Francia
Model 3;52640;2024;0;gris;Francia
Model 3;53670;2024;33;gris;Francia
Model 3;56280;2025;10;gris;Francia
Model 3;58790;2024;0;gris;Francia
Model X;112790;2024;15;gris;Francia
Model S;115680;2024;26;gris;Francia
Model X;117590;2024;20;gris;Francia
Model X;126890;2024;20;gris;Francia
