kilometraje;precio;año;modelo_Model 3;modelo_Model S;modelo_Model X;modelo_Model Y;color_azul;color_blanco;color_gris;color_marron;color_negro;color_plata;color_rojo;pais_España;pais_Francia;pais_Portugal
5398;41955;2024;True;False;False;False;False;False;False;False;True;False;False;False;False;True
34918;42200;2022;False;False;False;True;False;False;False;False;True;False;False;False;False;True
0;43475;2025;True;False;False;False;False;False;False;False;True;False;False;False;False;True
0;43975;2025;True;False;False;False;False;False;False;False;True;False;False;False;False;True
0;43975;2024;True;False;False;False;False;False;False;False;True;False;False;False;False;True
31021;44500;2022;False;False;False;True;False;False;False;False;True;False;False;False;False;True
5;44715;2025;False;False;False;True;False;False;False;False;True;False;False;False;False;True
0;44715;2024;False;False;False;True;False;False;False;False;True;False;False;False;False;True
27705;45100;2022;True;False;False;False;False;False;False;False;True;False;False;False;False;True
7;45935;2024;False;False;False;True;False;False;False;False;True;False;False;False;False;True
0;47275;2025;True;False;False;False;False;False;False;False;True;False;False;False;False;True
46832;47300;2022;False;False;False;True;False;False;False;False;True;False;False;False;False;True
37987;48000;2022;False;False;False;True;False;False;False;False;True;False;False;False;False;True
0;48975;2025;True;False;False;False;False;False;False;False;True;False;False;False;False;True
9383;50215;2024;True;False;False;False;False;False;False;False;True;False;False;False;False;True
4;51275;2025;False;False;False;True;False;False;False;False;True;False;False;False;False;True
2545;51405;2024;False;False;False;True;False;False;False;False;True;False;False;False;False;True
2;52475;2025;False;False;False;True;False;False;False;False;True;False;False;False;False;True
5;53575;2024;False;False;False;True;False;False;False;False;True;False;False;False;False;True
13;57375;2024;True;False;False;False;False;False;False;False;True;False;False;False;False;True
4;58735;2025;False;False;False;True;False;False;False;False;True;False;False;False;False;True
0;59775;2024;True;False;False;False;False;False;False;False;True;False;False;False;False;True
4;61475;2025;False;False;False;True;False;False;False;False;True;False;False;False;False;True
0;103525;2023;False;True;False;False;False;False;False;False;True;False;False;False;False;True
34;108075;2023;False;False;True;False;False;False;False;False;True;False;False;False;False;True
25;122025;2023;False;False;True;False;False;False;False;False;True;False;False;False;False;True
36306;42300;2022;False;False;False;True;False;False;False;False;False;True;False;False;False;True
14886;43900;2023;True;False;False;False;False;False;False;False;False;True;False;False;False;True
19834;46600;2022;True;False;False;False;False;False;False;False;False;True;False;False;False;True
64984;58000;2019;False;False;True;False;False;False;False;False;False;True;False;False;False;True
10;44675;2025;True;False;False;False;False;False;False;False;False;False;True;False;False;True
12;52715;2024;True;False;False;False;False;False;False;False;False;False;True;False;False;True
0;58035;2024;True;False;False;False;False;False;False;False;False;False;True;False;False;True
0;60475;2024;True;False;False;False;False;False;False;False;False;False;True;False;False;True
23;96075;2024;False;True;False;False;False;False;False;False;False;False;True;False;False;True
3393;115745;2024;False;True;False;False;False;False;False;False;False;False;True;False;False;True
